unit,period,pair,treat,post,D,y
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,3,0,0,0,0,0
0,4,0,0,0,0,0
0,5,0,0,0,0,0
0,6,0,0,0,0,0
0,7,0,0,0,0,0
0,8,0,0,0,0,0
0,9,0,0,0,0,0
0,10,0,0,1,0,0
0,11,0,0,1,0,0
0,12,0,0,1,0,0
0,13,0,0,1,0,0
0,14,0,0,1,0,0
0,15,0,0,1,0,0
0,16,0,0,1,0,0
0,17,0,0,1,0,0
0,18,0,0,1,0,0
0,19,0,0,1,0,0
1,0,1,0,0,0,0
1,1,1,0,0,0,0
1,2,1,0,0,0,0
1,3,1,0,0,0,0
1,4,1,0,0,0,0
1,5,1,0,0,0,0
1,6,1,0,0,0,0
1,7,1,0,0,0,0
1,8,1,0,0,0,1
1,9,1,0,0,0,0
1,10,1,0,1,0,0
1,11,1,0,1,0,0
1,12,1,0,1,0,0
1,13,1,0,1,0,1
1,14,1,0,1,0,0
1,15,1,0,1,0,0
1,16,1,0,1,0,1
1,17,1,0,1,0,0
1,18,1,0,1,0,0
1,19,1,0,1,0,0
2,0,2,0,0,0,0
2,1,2,0,0,0,0
2,2,2,0,0,0,0
2,3,2,0,0,0,1
2,4,2,0,0,0,0
2,5,2,0,0,0,1
2,6,2,0,0,0,0
2,7,2,0,0,0,0
2,8,2,0,0,0,1
2,9,2,0,0,0,0
2,10,2,0,1,0,0
2,11,2,0,1,0,0
2,12,2,0,1,0,0
2,13,2,0,1,0,1
2,14,2,0,1,0,0
2,15,2,0,1,0,0
2,16,2,0,1,0,0
2,17,2,0,1,0,1
2,18,2,0,1,0,1
2,19,2,0,1,0,0
3,0,3,0,0,0,0
3,1,3,0,0,0,0
3,2,3,0,0,0,0
3,3,3,0,0,0,1
3,4,3,0,0,0,0
3,5,3,0,0,0,0
3,6,3,0,0,0,1
3,7,3,0,0,0,1
3,8,3,0,0,0,0
3,9,3,0,0,0,0
3,10,3,0,1,0,0
3,11,3,0,1,0,1
3,12,3,0,1,0,1
3,13,3,0,1,0,0
3,14,3,0,1,0,0
3,15,3,0,1,0,1
3,16,3,0,1,0,0
3,17,3,0,1,0,0
3,18,3,0,1,0,1
3,19,3,0,1,0,1
4,0,4,0,0,0,1
4,1,4,0,0,0,1
4,2,4,0,0,0,0
4,3,4,0,0,0,1
4,4,4,0,0,0,0
4,5,4,0,0,0,1
4,6,4,0,0,0,1
4,7,4,0,0,0,0
4,8,4,0,0,0,0
4,9,4,0,0,0,0
4,10,4,0,1,0,1
4,11,4,0,1,0,1
4,12,4,0,1,0,0
4,13,4,0,1,0,0
4,14,4,0,1,0,2
4,15,4,0,1,0,1
4,16,4,0,1,0,2
4,17,4,0,1,0,0
4,18,4,0,1,0,0
4,19,4,0,1,0,1
5,0,5,0,0,0,0
5,1,5,0,0,0,0
5,2,5,0,0,0,0
5,3,5,0,0,0,1
5,4,5,0,0,0,0
5,5,5,0,0,0,0
5,6,5,0,0,0,0
5,7,5,0,0,0,1
5,8,5,0,0,0,1
5,9,5,0,0,0,2
5,10,5,0,1,0,0
5,11,5,0,1,0,0
5,12,5,0,1,0,0
5,13,5,0,1,0,1
5,14,5,0,1,0,1
5,15,5,0,1,0,0
5,16,5,0,1,0,1
5,17,5,0,1,0,1
5,18,5,0,1,0,0
